,seriesName,network,genre,runtime,firstAired,siteRating,siteRatingCount,rating
65,Project Mc²,Netflix,['Comedy'],30,2015-08-07,4.0,1.0,TV-G
66,Dinotrux,Netflix,"['Animation', 'Children']",30,2015-08-14,10.0,1.0,TV-Y7
67,Travelers,Vimeo,"['Crime', 'Drama', 'Science-Fiction']",35,2015-03-06,0.0,0.0,
68,Turbo FAST,Netflix,"['Animation', 'Children']",12,2013-12-01,6.7,3.0,TV-PG
69,Club de Cuervos,Netflix,"['Comedy', 'Drama']",45,2015-08-07,10.0,1.0,TV-MA
70,Between,City,"['Drama', 'Mystery', 'Science-Fiction']",45,2015-05-21,6.4,7.0,TV-14
71,Survivor's Remorse,Starz!,"['Comedy', 'Sport']",30,2014-10-04,8.0,4.0,
72,Flesh and Bone,Starz!,"['Drama', 'Mini-Series']",60,2015-11-08,7.0,3.0,TV-MA
73,Magic City,Starz!,"['Crime', 'Drama', 'Mystery']",55,2012-03-30,8.5,18.0,TV-MA
74,Missing,Lifetime,['Drama'],40,2003-08-03,4.7,3.0,
75,The White Princess,Starz!,['Drama'],60,2017-04-16,8.3,4.0,TV-MA
76,Camelot,Starz!,"['Drama', 'Fantasy']",60,2011-02-25,7.7,48.0,TV-MA
77,Party Down,Starz!,['Comedy'],30,2009-03-20,8.8,33.0,TV-MA
78,Spartacus,Starz!,"['Action', 'Adventure', 'Drama']",60,2010-01-22,8.7,621.0,TV-MA
79,BOSS,Fuji TV,['Drama'],45,2009-04-16,9.0,1.0,
80,The Pillars of the Earth,Starz!,"['Drama', 'Thriller']",60,2010-07-23,8.4,52.0,TV-MA
81,The Crash,BBC Three,['Drama'],60,2013-03-05,0.0,0.0,
82,Head Case,Starz!,['Comedy'],30,2007-04-18,7.5,2.0,
83,Hollywood Residential,Starz!,['Comedy'],30,2008-01-23,0.0,0.0,TV-14
84,The Bronx Bunny Show,E4,"['Comedy', 'Talk Show']",1,2012-07-24,6.5,2.0,
85,Gravity,Starz!,"['Comedy', 'Drama']",30,2010-04-23,8.1,7.0,
86,Zombie Hotel,,"['Animation', 'Children']",25,2006-01-13,7.0,1.0,
87,Torchwood,BBC Three,"['Action', 'Adventure', 'Crime', 'Drama', 'Science-Fiction']",50,2006-10-22,8.4,164.0,TV-MA
88,Homeland,Showtime,"['Crime', 'Drama', 'Suspense', 'Thriller']",50,2011-10-02,8.3,288.0,TV-MA
89,Shameless,Channel 4,"['Comedy', 'Drama']",60,2004-01-13,9.1,42.0,TV-MA
90,Billions,Showtime,['Drama'],60,2016-01-17,8.6,27.0,TV-MA
91,Dexter,Showtime,"['Crime', 'Drama', 'Mystery', 'Suspense', 'Thriller']",55,2006-10-01,9.1,1538.0,TV-MA
92,Roadies,Showtime,"['Comedy', 'Drama']",60,2016-06-26,6.4,5.0,
93,Ray Donovan,Showtime,"['Crime', 'Drama']",50,2013-06-30,8.6,63.0,TV-MA
94,The Affair,Showtime,['Drama'],60,2014-10-12,8.2,31.0,TV-MA
95,Californication,Showtime,"['Comedy', 'Drama']",30,2007-08-13,8.8,344.0,TV-MA
96,Masters of Sex,Showtime,['Drama'],60,2013-09-29,8.1,41.0,TV-MA
97,Weeds,Showtime,"['Comedy', 'Crime', 'Drama']",30,2005-08-07,8.5,255.0,TV-MA
98,House of Lies,Showtime,"['Comedy', 'Drama']",30,2012-01-08,8.1,50.0,TV-MA
99,The Borgias,Showtime,['Drama'],60,2011-04-03,8.2,56.0,TV-MA
100,Nurse Jackie,Showtime,"['Comedy', 'Drama']",25,2009-06-08,8.0,58.0,TV-MA
101,The Tudors,Showtime,"['Action', 'Adventure', 'Drama', 'Romance']",60,2007-04-01,8.2,69.0,TV-MA
102,United States of Tara,Showtime,"['Comedy', 'Drama']",30,2009-01-18,8.3,48.0,TV-MA
103,Circus,PBS,['Documentary'],60,2010-11-03,8.5,2.0,
104,Gigolos,Showtime,['Reality'],30,2011-04-07,7.7,3.0,TV-MA
105,HAPPYish,Showtime,['Comedy'],25,2015-04-26,5.3,3.0,
106,The L Word,Showtime,['Drama'],50,2004-01-18,8.1,25.0,TV-MA
107,Brotherhood,Showtime,"['Action', 'Adventure', 'Drama']",55,2006-07-09,8.5,17.0,TV-MA
108,Queer as Folk,Channel 4,['Drama'],60,1999-02-01,9.3,8.0,TV-MA
109,Twin Peaks,Showtime,"['Drama', 'Horror', 'Mystery']",45,1990-04-08,8.9,143.0,TV-MA
110,I'm Dying Up Here,Showtime,"['Comedy', 'Drama']",60,2017-06-04,0.0,0.0,
111,D.I.C.E.,Cartoon Network,"['Action', 'Adventure', 'Animation', 'Children', 'Science-Fiction']",25,2005-01-22,10.0,1.0,TV-Y7
112,The Big C,Showtime,['Comedy'],30,2010-08-16,8.5,36.0,TV-MA
113,Submission,Showtime,"['Drama', 'Mini-Series', 'Mystery', 'Romance']",25,2016-05-12,5.8,5.0,TV-MA
114,60 Minutes Sports,Showtime,"['Documentary', 'News', 'Sport']",60,2013-01-09,0.0,0.0,TV-14
115,The Real L Word,Showtime,['Reality'],60,2010-06-20,9.0,3.0,
116,Web Therapy,YouTube,['Comedy'],8,2008-09-22,7.0,2.0,
